,EIN,X__1,NAME.x,NAME.y,ICO,STREET,CITY,STATE,ZIP,tax_prd,subseccd,s501c3or4947a1cd,sepcnsldtfinstmtcd,sepindaudfinstmtcd,invstproceedscd,recvnoncashcd,noemplyeesw3cnt,unrelbusinccd,solicitcntrbcd,totcomprelatede,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,netgnls,netincfndrsng,netincgaming,netincsales,miscrevtot11e,totrevenue,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,profndraising,totfuncexpns,nonintcashend,svngstempinvend,pldgegrntrcvblend,accntsrcvblend,notesloansrcvblend,invntriesalesend,prepaidexpnsend,lndbldgsequipend,invstmntsend,invstmntsothrend,invstmntsprgmend,intangibleassetsend,othrassetsend,totassetsend,accntspayableend,grntspayableend,deferedrevnuend,txexmptbndsend,escrwaccntliabend,secrdmrtgsend,othrliabend,totliabend,unrstrctnetasstsend,temprstrctnetasstsend,permrstrctnetasstsend,totnetassetend,totnetliabastend,gftgrntsrcvd170,totgftgrntrcvd509
16,42756974,317,OPERA BOSTON INC,OPERA BOSTON INC,% CAMPBELL STEWARD,12 MILLER ROAD,DOVER,MA,02030-0000,201307,3,N,N,N,N,N,0,N,N,0,0,0,0,0,0,0,0,0,0,10000,10000,0,0,0,0,0,0,0,0,0,0,13224,72468,0,0,0,0,0,0,0,0,0,0,0,0,72468,0,0,0,0,0,0,0,0,72468,0,0,72468,72468,0,6753797
20,43754026,148,GOTHAM CHAMBER OPERA INC,GOTHAM CHAMBER OPERA INC,% KAREN LERNER,PO BOX 321853,NEW YORK,NY,10032-0508,201306,3,Y,N,N,N,Y,46,N,Y,0,1325576,150309,963,0,0,0,9130,0,0,0,1485978,0,0,0,0,166667,160467,0,26754,22831,2000,1281249,38809,0,151052,0,0,0,17063,118798,0,0,0,0,5081,330803,23181,0,0,0,0,0,0,23214,-168661,476250,0,307589,330803,4649392,0
24,60963170,365,OPERA NEW ENGLAND OF NORTHEASTERN CONNECTICUT INC,OPERA NEW ENGLAND OF NORTHEASTERN CONN INC,NA,PO BOX 75,POMFRET,CT,06258-0075,201406,3,Y,N,N,N,N,0,N,N,0,62258,13844,2144,0,0,0,8812,0,0,2420,89478,0,0,0,0,0,0,0,0,0,0,72334,36068,38665,0,0,0,0,0,0,0,0,0,15536,0,90269,0,0,0,0,0,0,0,0,0,0,0,90269,90269,257011,0
26,61603236,441,SALT MARSH OPERA COMPANY,SALT MARSH OPERA COMPANY,% ARTHUR CATTRELL,PO BOX 227,STONINGTON,CT,06378-0227,201312,3,Y,N,N,N,N,3,N,N,0,173146,79669,26,0,0,0,0,0,0,0,252841,0,0,0,0,33417,0,48383,0,0,0,328645,27735,10922,0,0,0,0,0,0,0,0,0,0,0,38657,0,0,0,0,0,0,0,0,38657,0,0,38657,38657,0,968392
28,112201344,51,BROOKLYN ACADEMY OF MUSIC INC,BROOKLYN ACADEMY OF MUSIC INC,% CYNTHIA SMITH,30 LAFAYETTE AVE,BROOKLYN,NY,11217-1430,201306,3,Y,Y,Y,N,Y,1158,N,Y,0,42102981,14000690,4194,0,0,1255,0,0,0,962109,57691932,0,0,0,0,1967337,0,19773243,1005220,5396281,0,51064640,0,1829870,24375478,726946,0,0,3003042,65533096,0,0,0,0,87933575,183402007,5071128,0,728325,0,0,275267,1257861,7332581,65795407,32014064,78259955,176069426,183402007,161191791,0
29,112625093,61,CENTER FOR CONTEMPORARY OPERA,CENTER FOR CONTEMPORARY OPERA,NA,236 E 31ST ST,NEW YORK,NY,10016-6303,201306,3,Y,N,N,N,N,1,N,N,0,179916,19875,0,0,0,0,0,0,0,0,199791,0,0,0,0,0,0,43321,0,0,0,87484,93487,0,0,0,0,0,0,0,0,0,0,0,0,93487,0,0,0,0,0,0,0,0,93487,0,0,93487,93487,846762,0
35,113451703,90,"CREATE OPERA D.B.A. FRACTURED ATLAS, INC.",FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
36,113451703,87,HELIOS EARLY OPERA D.B.A. FRACTURED ATLAS,FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
37,113451703,92,"OPERA BREVE INC D.B.A. FRACTURED ATLAS, INC.",FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
38,113451703,88,"PAULA KIMPER ENSEMBLE D.B.A. FRACTURED ATLAS, INC.",FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
39,113451703,91,"DC PUBLIC OPERA D.B.A. FRACTURED ATLAS, INC.",FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
40,113451703,89,"OPERAMISSION D.B.A. FRACTURED ATLAS, INC.",FRACTURED ATLAS INC,NA,248 W 35TH ST FL 10,NEW YORK,NY,10001-2505,201308,3,Y,N,Y,N,Y,29,Y,N,23750,15317803,1414883,161937,0,0,-651369,0,0,0,0,16243254,0,11592031,0,0,0,0,1493894,41327,67437,99840,15239827,1691811,0,0,335868,0,0,0,9601,3600360,0,0,455134,37017,6129791,313157,0,171303,0,0,0,44210,528670,463274,5137847,0,5601121,6129791,47539633,0
43,131572247,251,METROPOLITAN OPERA CLUB INC,METROPOLITAN OPERA CLUB INC,NA,LINCOLN CTR,NEW YORK,NY,10023-0000,201307,7,N,Y,Y,N,N,25,Y,N,0,0,494869,4274,0,0,0,0,0,956075,0,1455218,0,0,0,0,197969,0,366133,16354,73671,0,1387576,200,939161,0,744803,0,18628,6094,38095,0,0,0,0,0,1746981,34548,0,708125,0,0,0,30155,772828,974153,0,0,974153,1746981,0,0
44,131624087,250,METROPOLITAN OPERA ASSOCIATION INC,METROPOLITAN OPERA ASSOCIATION INC,% DIANA FORTUNA,30 LINCOLN CENTER PLZ,NEW YORK,NY,10023-6922,201307,3,N,Y,N,N,Y,4425,Y,N,0,153667307,136486907,3370275,0,553626,14349375,-1139100,0,2410115,2265459,311963964,0,603520,0,0,3536776,0,172673633,30309794,35421369,45243,324333915,1612187,0,79703841,3812437,0,1578267,15436747,45831011,171101991,90432482,0,0,20324450,429833413,22553916,0,40180371,0,0,0,85409364,248143651,-135014474,108154014,208550222,181689762,429833413,717021167,0
45,131656667,239,MANHATTAN SCHOOL OF MUSIC,MANHATTAN SCHOOL OF MUSIC,% SUSAN FINK,120 CLAREMONT AVE,NEW YORK,NY,10027-4689,201306,3,N,Y,Y,N,Y,1186,N,N,0,3953947,40487512,313046,0,0,-7694,-75619,0,-15275,0,47591722,0,9062000,0,0,1115032,62926,18682675,847992,1959734,126326,45468443,3630537,5634619,5898421,0,979480,0,564521,54364697,10927819,8439043,0,0,169087,90608224,2028610,0,1050938,38820000,0,375262,1254474,43529284,22998881,1380475,22699584,47078940,90608224,0,0
46,131681983,252,METROPOLITAN OPERA GUILD INC,METROPOLITAN OPERA GUILD INC,% TOM MARTIN DIR OF FINANCE,70 LINCOLN CTR PLAZA 6TH,NEW YORK,NY,10023-6548,201306,3,N,Y,Y,N,N,98,Y,N,0,9209871,2171729,319341,0,2817,406551,51431,0,0,43365,12205105,6876292,0,0,0,827077,0,2084229,309760,273994,0,14232404,869692,0,51997,242787,0,25566,186210,3194674,12366937,4621996,0,0,0,21559859,363510,0,1297141,0,0,5900000,4176437,11737088,8942759,418694,461318,9822771,21559859,44643218,0
47,132505803,203,LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC.,LAKE GEORGE OPERA FESTIVAL ASSOCIATION INC,NA,19 ROOSEVELT DR STE 215,SARATOGA SPGS,NY,12866-6209,201312,3,Y,N,Y,N,N,22,N,N,0,469828,301849,0,0,0,0,57584,0,0,0,829261,0,0,0,0,136200,0,119228,8480,8736,0,783336,42885,0,0,0,0,0,1563,7825,0,0,0,0,0,52273,51759,0,29545,0,0,0,0,356640,-304367,0,0,-304367,52273,0,2408067
48,132862043,284,"NEW YORK GILBERT AND SULLIVAN PLAYERS, INC.",NEW YORK GILBERT SULLIVAN PLAYERS INC,% ALBERT BERGERET,225 W 99TH ST,NEW YORK,NY,10025-5014,201306,3,N,N,Y,N,Y,111,N,N,0,455725,1311077,1483,0,0,11899,0,0,0,569,1780753,0,0,0,0,104950,0,492821,35127,81176,0,1783996,59152,0,0,1415,0,0,7000,0,21860,0,0,0,47478,136905,449,0,0,0,0,0,0,449,136456,0,0,136456,136905,0,1420019
50,132974347,283,NEW YORK CITY OPERA INC,NEW YORK CITY OPERA INC,NA,1700 BROADWAY 39TH FLOOR,NEW YORK,NY,10019-5905,201306,3,Y,Y,Y,N,Y,477,N,N,0,9565319,2177854,163734,0,0,-1485,0,0,211923,1189221,13312876,0,0,0,0,755722,0,5530190,124827,568734,0,14392958,513764,123983,1400069,43787,0,260669,282200,378448,4490992,78329,0,0,0,7572241,658833,0,310867,0,0,0,4480028,5599728,-44055498,1012696,45015315,1972513,7572241,0,65287503
52,133081486,11,AMERICAN OPERA PROJECTS INC,AMERICAN OPERA PROJECTS INC,NA,138 SOUTH OXFORD STREET,BROOKLYN,NY,11217-1695,201306,3,N,N,N,N,Y,33,N,N,0,507908,17302,0,0,0,-3544,0,0,0,0,521666,0,0,0,0,50677,0,129115,0,0,0,492930,56422,0,0,39060,0,0,1450,6780,0,0,0,0,2717,106429,16569,0,0,0,0,0,0,16569,89860,0,0,89860,106429,0,1977248
53,133081486,11,AMERICAN OPERA PROJECTS INC,AMERICAN OPERA PROJECTS INC,NA,138 SOUTH OXFORD STREET,BROOKLYN,NY,11217-1695,201406,3,Y,N,Y,N,N,14,N,N,0,810790,52362,0,0,0,0,0,0,0,0,863152,0,0,0,0,0,0,173734,0,0,0,663956,201710,0,0,28757,0,0,87035,3228,0,0,0,0,2715,323445,11461,0,0,0,0,0,2928,34389,289056,0,0,289056,323445,0,2517348
58,133219847,8,AMERICAN FRIENDS OF THE PARIS OPERA AND BALLET,AMERICAN FRIENDS OF THE PARIS OPERA & BALLET,NA,972 5TH AVE,NEW YORK,NY,10075-0104,201312,3,Y,Y,Y,N,N,2,N,N,0,818003,0,16310,0,0,12714,-9995,0,0,0,837032,17000,0,1176850,0,0,0,167333,4000,26456,23028,1486125,6553,517379,0,0,0,0,0,0,453153,0,0,0,0,977085,0,0,0,0,0,0,0,0,779969,197116,0,977085,977085,4242197,0
60,133355065,281,NEW ROCHELLE OPERA INC,NEW ROCHELLE OPERA INC,NA,PO BOX 55,NEW ROCHELLE,NY,10804-0055,201312,3,Y,N,N,N,N,55,N,N,0,41094,54067,52,0,0,0,0,0,0,0,95213,0,0,0,0,0,0,0,0,0,0,104728,7839,21793,0,0,0,0,0,0,0,0,0,0,0,29632,0,0,0,0,0,0,0,0,29632,0,0,29632,29632,237448,0
61,133377138,494,THE OPERA FOUNDATION INC,THE OPERA FOUNDATION INC,% MANNHEIM LLC,CO MANNHEIM LLC 712 5TH AVE,NEW YORK,NY,10019-0000,201306,3,N,N,N,N,N,0,N,N,0,92213,0,0,0,0,0,0,0,0,0,92213,0,0,66825,0,14010,0,0,0,0,0,91675,85450,0,0,0,0,0,0,0,0,0,0,0,0,85450,7250,0,0,0,0,0,0,7250,0,0,0,78200,85450,445506,0
62,133449416,174,HOME FOR CONTEMPORARY THEATRE AND ART LTD (HERE ART CENTER),HOME FOR CONTEMPORARY THEATRE AND ART LTD,NA,DBA HERE145 AVENUE OF AMERICA,NEW YORK,NY,10013-0000,201308,3,Y,Y,Y,N,N,70,N,N,0,1253936,319677,80,0,0,0,0,0,0,11908,1585601,0,0,0,0,173514,0,438068,0,55565,0,2009592,98502,62255,245419,6860,0,0,30519,3205396,0,0,0,0,51579,3700530,43748,0,31720,0,0,1340716,0,1416184,152496,2131850,0,2284346,3700530,6131265,0
63,133789627,481,TEATRO GRATTACIELO,TEATRO GRATTACIELO,% DUANE D PRINTZ,2 RIVERSIDE DR APT 2C,NEW YORK,NY,10023-2524,201312,3,Y,N,N,N,N,108,N,N,0,176400,8836,167,0,0,0,0,0,0,0,185403,0,0,0,0,0,0,114074,0,17416,0,195653,55499,26496,0,0,0,3200,0,0,0,0,0,0,0,85195,2277,0,0,0,0,0,19706,21983,0,0,0,63212,85195,890084,0
70,134147698,194,INTERNATIONAL CONFERENCE OF SYMPHONY AND OPERA MUSICIANS INC,INTERNATIONAL CONFERENCE OF SYMPHONY AND OPERA MUSICIANS INC,NA,953 ROSEDALE RD NE,ATLANTA,GA,30306-4830,201306,5,N,N,N,N,N,0,N,N,0,196143,0,3828,0,0,0,0,0,0,0,199971,0,0,0,0,12300,0,0,0,0,0,190097,71359,576052,0,0,0,0,0,0,0,0,0,0,0,647411,0,0,0,0,0,0,0,0,647411,0,0,647411,647411,0,0
72,134236056,242,MARTINA ARROYO FOUNDATION,MARTINA ARROYO FOUNDATION,% MARTINA ARROYO,200 CENTRAL PARK SOUTH,NEW YORK,NY,10019-1436,201308,3,Y,N,Y,N,N,3,N,N,0,153735,77250,4427,0,0,0,140755,0,0,0,376167,0,0,0,0,39546,0,0,0,0,0,381818,50005,0,0,0,0,0,43426,0,52448,0,0,0,0,145879,41029,0,16166,0,0,0,0,57195,20805,0,67879,88684,145879,0,1073852
73,134236056,242,MARTINA ARROYO FOUNDATION,MARTINA ARROYO FOUNDATION,% MARTINA ARROYO,200 CENTRAL PARK SOUTH,NEW YORK,NY,10019-1436,201208,3,Y,N,Y,N,N,3,N,N,0,182365,84512,4891,0,0,0,0,0,0,0,271768,0,0,0,0,32765,0,0,0,0,0,315798,85790,0,0,3192,0,0,37378,0,48075,0,0,0,0,174435,11000,0,69100,0,0,0,0,80100,32032,0,62303,94335,174435,0,1073852
74,136162820,532,VILLAGE LIGHT OPERA GROUP LTD,VILLAGE LIGHT OPERA GROUP LTD,NA,PO BOX 143,NEW YORK,NY,10014-0143,201306,3,Y,N,N,N,N,7,Y,N,0,19203,21872,93,0,0,0,6204,0,0,-1294,45869,0,0,0,0,0,0,4563,597,456,0,124223,12939,39112,0,0,0,16900,15193,838176,0,0,0,0,16383,938703,14659,0,0,0,0,720000,0,734659,0,0,0,204044,938703,0,237753
75,136271927,373,OPERA ORCHESTRA OF NEW YORK INC,OPERA ORCHESTRA OF NEW YORK INC,NA,1632 FIRST AVE 232,NEW YORK,NY,10028-4305,201405,3,Y,N,Y,N,N,6,N,N,0,456679,99580,508,0,82,0,0,0,0,0,556849,0,0,0,0,67400,0,72052,0,33608,0,522648,254820,0,0,96274,0,0,0,3515,0,0,0,0,3603,358212,265491,0,0,0,0,24200,0,289691,64918,0,3603,68521,358212,0,3376729
77,146030188,450,SEAGLE MUSIC COLONY,SEAGLE MUSIC COLONY INC,NA,PO BOX 366,SCHROON LAKE,NY,12870-0366,201312,3,Y,N,Y,N,Y,23,N,N,0,257209,221891,11181,0,0,4627,3350,0,281,0,512739,0,33150,0,0,0,0,168225,0,4853,0,534474,20218,358249,725564,6035,0,8873,4616,979974,399384,37442,0,0,0,2540355,4542,0,0,0,0,96401,0,100943,2291920,5385,142107,2439412,2540355,0,1494282
78,150544166,508,TRI-CITIES OPERA COMPANY INC,TRI-CITIES OPERA COMPANY INC,NA,315 CLINTON ST,BINGHAMTON,NY,13905-2017,201406,3,Y,N,N,N,N,0,N,N,0,460323,174181,24806,0,0,0,0,0,0,299052,958362,0,0,0,0,0,0,0,0,0,0,1071462,62128,0,0,40684,0,2252,11698,429906,330972,0,0,0,20704,898344,35606,0,32370,0,0,50114,0,118090,691978,0,88276,780254,898344,0,2188294
79,160758844,68,CHAUTAUQUA INSTITUTION,CHAUTAUQUA INSTITUTION,NA,PO BOX 28,CHAUTAUQUA,NY,14722-0028,201312,3,Y,N,N,N,Y,1651,Y,N,439968,7325556,19278512,42106,0,998,68517,0,0,319039,485953,27548716,0,515701,0,0,1099690,0,10803472,448278,956658,0,25098061,3193356,6098653,1302362,2129245,0,411717,111533,59920194,0,4326163,0,0,0,77493223,1549484,0,0,0,0,0,328699,2979018,72148734,2365471,0,74514205,77493223,0,36788156
80,160988051,112,EARLVILLE OPERA HOUSE INC,EARLVILLE OPERA HOUSE INC,% M CURRIER,PO BOX 111,EARLVILLE,NY,13332-0111,201312,3,Y,N,N,N,N,4,N,N,0,71319,108022,768,0,0,0,11999,0,726,0,202217,0,0,0,0,38500,0,11686,3346,0,0,215536,23278,44643,0,9765,19076,0,0,568160,0,0,0,0,0,664922,11522,0,0,0,0,0,0,11522,616733,0,36667,653400,664922,465952,0
81,161053970,145,GLIMMERGLASS OPERA THEATRE INC,GLIMMERGLASS OPERA THEATRE INC,NA,PO BOX 191,COOPERSTOWN,NY,13326-0191,201309,3,Y,Y,Y,N,Y,317,N,N,0,3215202,2567177,57550,0,0,491160,406623,0,0,0,6737712,0,0,0,0,81749,0,3546135,19315,157357,0,6517874,199474,0,1297772,0,0,31370,93700,4165287,5828736,0,0,0,0,11616339,200406,0,342058,0,0,0,31847,2474311,4600943,1814319,2726766,9142028,11616339,17787932,0
83,161472177,1,1891 FREDONIA OPERA HOUSE,1891 FREDONIA OPERA HOUSE,NA,PO BOX 384,FREDONIA,NY,14063-0384,201406,3,Y,Y,Y,N,N,3,N,N,0,181666,123867,1435,0,0,0,0,0,0,0,306968,0,0,0,0,42847,73458,0,0,19971,0,293274,1426,31960,16715,0,0,0,1250,94300,22850,0,0,0,0,168501,16189,0,1020,0,0,0,0,17209,94825,56467,0,151292,168501,0,910767
91,201965815,69,CHELSEA OPERA INC,CHELSEA OPERA INC,NA,PO BOX 277,NEW YORK,NY,10113-0277,201407,3,Y,N,N,N,N,0,N,N,0,50484,18180,97,0,0,0,0,1403,0,0,70164,0,0,0,0,0,0,0,0,0,0,82234,5521,16657,0,0,0,0,0,0,0,0,0,0,0,22178,0,0,0,0,0,0,0,0,0,0,0,22178,22178,214278,0
93,202533756,323,OPERA CAROLINA ENDOWMENT,OPERA CAROLINA ENDOWMENT,% JAMES MEENA,1600 ELIZABETH AVE,CHARLOTTE,NC,28204-2511,201306,3,N,N,Y,N,N,0,N,N,130050,1357,0,45098,0,0,10527,0,0,0,0,56982,66243,0,0,0,0,0,0,0,0,0,76473,50481,0,54956,661031,85713,0,0,0,1572834,0,0,0,0,2425015,0,0,0,0,0,0,0,0,1548706,61021,815288,2425015,2425015,0,0
96,202990023,9,AMERICAN LYRIC THEATER CENTER INC,AMERICAN LYRIC THEATER CENTER INC,% LAWRENCE EDELSON PRESIDENT,410 W 42ND ST,NEW YORK,NY,10036-6809,201312,3,Y,N,Y,N,N,8,N,N,0,304409,9831,83,0,175,0,0,0,0,0,314498,0,0,0,0,66937,0,0,0,0,0,256652,16197,20037,26448,175,0,0,2883,8080,0,0,0,0,80000,153820,30494,0,0,0,0,0,0,30494,16878,106448,0,123326,153820,725023,0
99,203520577,311,OPERA AMERICA INC,OPERA AMERICA INC,% SUSAN SCHULTZ,330 SEVENTH AVENUE,NEW YORK,NY,10001-5010,201306,3,N,Y,Y,N,Y,43,Y,N,0,4185055,1271517,154892,0,0,212186,0,0,0,27211,5850861,499100,71001,25000,0,395440,0,1200122,21528,109879,96000,5141527,2698348,480078,2117034,264309,0,0,58313,5435836,6499370,0,0,0,132170,17685458,266950,507631,36093,0,0,0,899331,3560005,253839,8232582,5639032,14125453,17685458,14970501,0
106,204425925,227,LYRIC LIGHT OPERA OF THE NORTHWEST,LYRIC LIGHT OPERA OF THE NORTHWEST,% KELLI POLLINO,1090 SEA MIST LN,CAMANO ISLAND,WA,98282-7566,201312,3,Y,N,N,N,Y,0,N,N,0,52182,216284,0,0,0,0,0,0,3415,0,276881,0,0,0,0,0,0,0,0,0,0,258661,3184,0,0,0,0,0,20000,37267,0,0,0,0,0,60451,1005,0,0,0,0,0,50,25855,34596,0,0,34596,60451,0,113562
